AnimalName,AnimalGender,AgeAsOf2015,BreedName,Borough
ABBY,F,7,Unknown,Manhattan
ABBY,F,2,Pug,Bronx
ABBY,F,17,Pug,Manhattan
ABBY,F,3,Unknown,Manhattan
ABBY,F,3,Yorkshire Terrier,Bronx
ABBY,F,2,Labrador Retriever Crossbreed,Manhattan
ABBY,F,9,Unknown,Brooklyn
ABBY,F,6,Boston Terrier,Brooklyn
ABBY,F,15,Wheaton Terrier,Manhattan
ABBY,F,5,Unknown,Staten Island
ABBY,F,4,Shih Tzu,Manhattan
ABBY,M,2,Labrador Retriever Crossbreed,Queens
ABBY,F,12,Rottweiler,Brooklyn
ABBY,F,2,Shih Tzu,Manhattan
ABBY,F,3,Yorkshire Terrier,Bronx
ABBY,F,6,"Schnauzer, Miniature",Staten Island
ABBY,F,12,Jack Russell Terrier,Queens
ABBY,F,3,American Pit Bull Mix / Pit Bull Mix,Manhattan
ABBY,F,3,Chihuahua,Manhattan
ABBY,F,14,Golden Retriever,Queens
ABBY,F,5,Unknown,Queens
ABBY,F,5,American Staffordshire Terrier,Queens
ABBY,F,1,Shih Tzu,Bronx
ABBY,F,9,Labrador Retriever,Brooklyn
ABBY,F,4,Havanese,Manhattan
ABBY,F,3,Labrador Retriever,Brooklyn
ABBY,F,7,Cocker Spaniel,Manhattan
ABBY,F,2,Beagle Crossbreed,Bronx
ABBY,F,5,Unknown,Queens
ABBY,F,11,Wire Fox Terrier,Staten Island
ABBY,F,8,"Schnauzer, Miniature",Manhattan
ABBY,F,10,Great Pyrenees,Staten Island
ABBY,F,6,Golden Retriever,Queens
ABBY,F,7,Cavalier King Charles Spaniel,QUEENS
ABBY,F,13,Labrador Retriever Crossbreed,Queens
ABBY,F,5,Unknown,Queens
ABBY,F,3,Unknown,Staten Island
ABBY,F,4,Pug,Staten Island
ABBY,F,5,Australian Shepherd,Queens
ABBY,F,5,German Shepherd Crossbreed,Brooklyn
ABBY,F,2,Unknown,Queens
ABBY,F,7,Labradoodle,Brooklyn
ABBY,F,11,Yorkshire Terrier,Queens
ABBY,F,3,English Springer Spaniel,Staten Island
ABBY,F,7,Unknown,Queens
ABBY,F,12,Boston Terrier,Staten Island
ABBY,F,9,Labrador Retriever,Staten Island
ABBY,F,5,Labrador Retriever,Manhattan
ABBY,F,13,Labrador Retriever,Staten Island
ABBY,F,11,Labrador Retriever Crossbreed,Manhattan
ABBY,F,15,Collie Crossbreed,Brooklyn
ABBY,F,2,Labrador Retriever,Brooklyn
ABBY,F,3,Unknown,Brooklyn
ABBY,F,17,Bichon Frise,Manhattan
ABBY,F,2,Labrador Retriever Crossbreed,Manhattan
ABBY,F,1,French Bulldog,Queens
ABBY,F,6,Labrador Retriever Crossbreed,Brooklyn
ABBY,F,2,Labrador Retriever Crossbreed,Manhattan
ABBY,F,3,"Poodle, Standard",Staten Island
ABBY,F,7,Cavalier King Charles Spaniel,Queens
ABBY,F,1,Cocker Spaniel,Manhattan
ABBY,F,5,Chihuahua,Queens
ABBY,F,4,Golden Retriever,Brooklyn
ABBY,F,8,Chihuahua,Manhattan
ABBY,F,2,Unknown,Queens
ABBY,F,11,Pug,Bronx
ABBY,F,3,Unknown,Manhattan
ABBY,F,3,Unknown,Queens
ABBY,F,13,Bichon Frise,Staten Island
ABBY,F,9,Labrador Retriever,Manhattan
ABBY,F,5,Maltese,Bronx
ABBY,F,4,Pointer,Queens
ABBY,F,5,Beagle Crossbreed,Staten Island
ABBY,F,12,Yorkshire Terrier,Bronx
ABBY,F,4,Labrador Retriever,Queens
ABBY,F,12,Labrador Retriever,Manhattan
ABBY,F,7,Pomeranian,Manhattan
ABBY,F,1,Staffordshire Bull Terrier,Manhattan
ABBY,F,6,Beagle,Queens
ABBY,F,6,Bassett Hound,Staten Island
ABBY,F,5,Unknown,Brooklyn
ABBY,F,5,Unknown,Manhattan
ABBY,F,6,Boston Terrier,Queens
ABBY,F,8,Puli,Manhattan
ABBY,F,6,Unknown,Queens
ABBY,F,4,Shih Tzu,Manhattan
ABBY,F,4,Cavalier King Charles Spaniel,Brooklyn
ABBY,F,3,Unknown,Queens
ABBY,M,6,Yorkshire Terrier,Manhattan
ABBY,F,1,Goldendoodle,Staten Island
ABBY,F,6,Unknown,Brooklyn
ABBY,F,4,Pharaoh Hound,Manhattan
ABBY,F,2,Terrier mix,Brooklyn
ABBY,M,3,Maltese Crossbreed,Manhattan
ABBY,F,6,Chow Chow,Staten Island
ABBY,F,9,German Shepherd Dog,Brooklyn
ABBY,F,13,Jack Russell Terrier,Staten Island
ABBY,F,4,Miniature Pinscher,Manhattan
ABBY,F,4,Unknown,Queens
ABBY,F,9,Shih Tzu,Manhattan
ABBY,F,7,"Poodle, Standard",Brooklyn
ABBY,F,12,Yorkshire Terrier,Manhattan
ABBY,F,5,Vizsla,Manhattan
ABE,M,5,Unknown,Brooklyn
ABE,M,8,Chihuahua,Brooklyn
ABE,M,2,American Pit Bull Terrier/Pit Bull,Queens
ABE,M,8,Italian Greyhound,Manhattan
ABE,M,3,"Bull Dog, French",Queens
ABE,M,4,Labrador Retriever,Manhattan
ABE,M,10,Unknown,Brooklyn
ABE,M,6,Havanese,Brooklyn
ABECROMBIE,F,11,Puggle,Staten Island
ABEJA,F,1,Unknown,Brooklyn
ABEL,M,4,Chihuahua,Bronx
ABEL,M,3,American Pit Bull Terrier/Pit Bull,Staten Island
ABERCROMBIE,F,14,Yorkshire Terrier,Staten Island
ABHAYA,F,7,Unknown,Queens
ABHAYA,F,8,Boston Terrier,Queens
ABI,F,9,Bassett Hound,Manhattan
ABI,F,11,Shiba Inu,Manhattan
ABI,F,9,Bassett Hound,Manhattan
ABIGAIL,F,5,Maltese,Queens
ABIGAIL,F,5,"Coonhound, Black and Tan",Manhattan
ABIGAIL,F,4,Siberian Husky,Brooklyn
ABIGAIL,F,4,Unknown,Brooklyn
ABIGAIL,F,4,Shih Tzu,Manhattan
ABIGAIL,F,17,Bearded Collie,Manhattan
ABIGAIL,F,6,Chihuahua,Staten Island
ABIGAIL,F,2,Unknown,Manhattan
ABIGAIL,F,5,Labrador Retriever,Staten Island
ABIGAIL,F,9,Unknown,Manhattan
ABIGAIL,F,4,"Collie, Border",Brooklyn
ABIGAIL,F,7,Cocker Spaniel,Queens
ABIGAIL,F,5,Unknown,Staten Island
ABIGAIL,F,8,Cocker Spaniel,Staten Island
ABIGAIL,F,2,Cairn Terrier,Manhattan
ABIGAIL,F,8,Unknown,Brooklyn
ABIGAIL,F,6,Unknown,Manhattan
ABIGAIL,F,6,Unknown,Manhattan
ABIGAIL,F,4,"Bull Dog, English",Queens
ABIGAIL,F,2,Shiba Inu,Bronx
ABIGAIL,F,3,Labrador Retriever,Staten Island
ABIGAIL,F,13,Cairn Terrier,Queens
ABIGAIL,F,7,"Poodle, Miniature",Manhattan
ABIGAIL,F,14,Chihuahua,Queens
ABIGAIL,F,10,Shih Tzu,Brooklyn
ABIGAIL,F,15,American Staffordshire Terrier,Manhattan
ABIGAIL,F,8,West High White Terrier,Manhattan
ABIGAIL,F,4,Shih Tzu,Manhattan
ABIGAIL,F,12,Labrador Retriever Crossbreed,Brooklyn
ABIGAIL,F,4,Unknown,Queens
ABIGAIL,F,12,Chihuahua,Manhattan
ABIGAIL,F,13,"Bull Dog, English",Brooklyn
ABIGAIL,M,1,Poodle Crossbreed,Brooklyn
ABIGAIL,F,9,Unknown,Manhattan
ABIGAIL,F,2,Wire Fox Terrier,Staten Island
ABIGALE,F,12,Bichon Frise,Manhattan
ABIGIAL,F,8,Miniature Pinscher,Staten Island
ABILENE,F,3,Unknown,Manhattan
ABILGAIL,F,4,American Pit Bull Mix / Pit Bull Mix,Brooklyn
ABITA,F,4,Puggle,Manhattan
ABLE,M,2,American Pit Bull Terrier/Pit Bull,Brooklyn
ABNER,M,4,Unknown,Bronx
ABNER,M,2,Brussels Griffon,Brooklyn
ABNER,M,1,American Pit Bull Mix / Pit Bull Mix,Manhattan
ABRAHAM,M,6,Cocker Spaniel,Bronx
ABRAHAM,M,3,Boston Terrier,Brooklyn
ABRAHAM,M,4,Unknown,Brooklyn
ABRAHAM,M,6,Cocker Spaniel,Bronx
ABRAHAM,M,2,American Pit Bull Terrier/Pit Bull,Queens
ABRAHAM,M,3,Belgian Malinois,Brooklyn
ABREE,F,2,Yorkshire Terrier,Queens
ABRIK,M,5,Shiba Inu,Brooklyn
ABRIL,F,3,Miniature Pinscher,Queens
ABRIL,F,10,Chihuahua,Manhattan
ABSOLUT,M,3,Cotton De Tulear,Bronx
ABU,M,3,Lhasa Apso,Bronx
ABU,M,9,Pug,Manhattan
ABUELA,F,11,American Pit Bull Mix / Pit Bull Mix,Queens
ABUJA,F,6,Australian Cattledog,Manhattan
ABUR,M,2,Unknown,Brooklyn
ACCEL,M,6,"Dachshund, Long Haired Miniature",Queens
ACCIDENTALLY,M,2,Shih Tzu,Manhattan
ACCURA,F,4,Unknown,Manhattan
ACE,M,3,Yorkshire Terrier,Manhattan
ACE,M,14,Portuguese Water Dog,Manhattan
ACE,M,3,American Pit Bull Terrier/Pit Bull,Queens
ACE,M,3,Yorkshire Terrier,Bronx
ACE,M,3,American Pit Bull Terrier/Pit Bull,Bronx
ACE,M,6,"Poodle, Miniature",Manhattan
ACE,M,5,Golden Retriever,Brooklyn
ACE,M,8,Miniature Pinscher,Queens
ACE,M,3,German Shepherd Dog,Bronx
ACE,M,9,Jack Russell Terrier,Queens
ACE,M,3,Boxer,Manhattan
ACE,M,11,Beagle,Manhattan
ACE,M,2,Chihuahua,Queens
ACE,M,16,Bichon Frise,Brooklyn
ACE,M,6,"Collie, Border",Manhattan
ACE,M,12,Jack Russell Terrier,Queens
ACE,F,11,Unknown,Manhattan
ACE,M,5,Chihuahua,Queens
ACE,M,6,Weimaraner,Manhattan
ACE,M,3,Unknown,Queens
ACE,M,2,American Pit Bull Mix / Pit Bull Mix,Manhattan
ACE,M,15,Unknown,Bronx
ACE,M,5,Unknown,Brooklyn
ACE,M,12,Chihuahua,Brooklyn
ACE,M,2,Australian Terrier,Manhattan
ACE,M,7,Golden Retriever,Queens
ACE,M,8,Maltese,Manhattan
ACE,M,9,Unknown,Staten Island
ACE,M,13,Chihuahua,Brooklyn
ACE,M,7,American Pit Bull Terrier/Pit Bull,Brooklyn
ACE,M,4,Labrador Retriever Crossbreed,Queens
ACE,M,2,American Pit Bull Terrier/Pit Bull,Queens
ACE,M,8,American Pit Bull Terrier/Pit Bull,Bronx
ACE,M,2,American Pit Bull Mix / Pit Bull Mix,Bronx
ACE,M,11,Unknown,Queens
ACE,M,3,Unknown,Bronx
ACE,M,5,Labradoodle,Brooklyn
ACE,M,6,Unknown,Manhattan
ACE,M,4,Unknown,Brooklyn
ACE,M,3,American Pit Bull Mix / Pit Bull Mix,Manhattan
ACE,M,4,Poodle,Queens
